order,key,section,question,type,options,required,help_text,condition_field,condition_value
1,name,기본정보,환자분의 성함을 입력해주세요.,text,,y,예: 홍길동,,
2,age,기본정보,환자분의 나이를 숫자로 입력해주세요.,text,,y,예: 45,,
3,sex,기본정보,성별을 선택해주세요.,choice,남성|여성,y,,,
4,occupation,기본정보,어깨를 많이 사용하는 직업이나 활동을 하십니까?,choice,예|아니오,y,,,
5,pain_side,증상부위,통증이 있는 부위는 어디입니까?,choice,오른쪽|왼쪽|양쪽,y,,,
6,dom_arm,증상부위,주로 사용하는 팔(우세안)은 어느 쪽입니까?,choice,오른쪽|왼쪽|양손잡이,y,,,
7,trauma,외상여부,최근 어깨를 심하게 부딪히거나 넘어지는 등의 외상이 있었습니까?,choice,예|아니오,y,골절이나 급성 인대 파열 가능성을 확인합니다.,,
8,trauma_detail,외상여부,어떤 상황에서 다치셨는지 간단히 적어주세요.,text,,n,,trauma,예
9,onset,통증양상,통증은 어떻게 시작되었습니까?,choice,갑자기 발생함|서서히 발생함,y,,,
10,pain_duration,통증양상,통증이 발생한 지 얼마나 되었습니까?,choice,1주일 이내|1개월 이내|3개월 이내|6개월 이상,y,,,
11,pain_scale,통증양상,현재 통증의 강도는 어느 정도입니까? (1:약함 ~ 10:극심함),text,,y,숫자만 입력하세요.,,
12,night_pain,통증양상,밤에 잘 때 통증(야간통)이 심해지거나 아픈 쪽으로 눕기 힘드십니까?,choice,예|아니오,y,,,
13,sleep_disturb,통증양상,통증 때문에 잠에서 깬 적이 있습니까?,choice,예|아니오,n,,night_pain,예
14,stiffness,관절운동,어깨 관절이 굳어서 팔을 움직이기 힘든 증상이 있습니까?,choice,예|아니오,y,동결견(오십견) 확인 문항입니다.,,
15,rom_forward,관절운동,팔을 앞으로 끝까지 들어 올릴 수 있습니까?,choice,가능함|통증있지만 가능함|불가능함,n,,stiffness,예
16,rom_side,관절운동,팔을 옆으로 들어 올릴 때 특정 각도에서 통증이 걸립니까?,choice,예|아니오,n,어깨 충돌증후군 확인 문항입니다.,stiffness,예
17,rom_back,관절운동,열중쉬어 자세를 하거나 등 뒤로 손을 올리기 힘드십니까?,choice,예|아니오,n,,stiffness,예
18,weakness,근력약화,팔에 힘이 빠지거나 물건을 들어 올리기 힘든 증상이 있습니까?,choice,예|아니오,y,회전근개 파열 확인 문항입니다.,,
19,drop_arm,근력약화,팔을 옆으로 들었다가 천천히 내릴 때 힘없이 툭 떨어집니까?,choice,예|아니오,n,,weakness,예
20,numbness,신경증상,목부터 팔을 따라 손끝까지 저리거나 전기가 통하는 느낌이 있습니까?,choice,예|아니오,y,목 디스크 확인 문항입니다.,,
21,neck_pain,신경증상,어깨 통증과 함께 목 통증이 동반됩니까?,choice,예|아니오,n,,numbness,예
22,catching,특이증상,어깨를 움직일 때 무언가 걸리는 느낌이 듭니까?,choice,예|아니오,y,,,
23,popping,특이증상,어깨를 움직일 때 '뚝뚝'하는 소리가 납니까?,choice,예|아니오,y,,,
24,instability,특이증상,어깨가 빠질 것 같거나 헐거운 느낌(불안정성)이 있습니까?,choice,예|아니오,y,,,
25,dislocation_hx,특이증상,과거에 어깨가 완전히 빠진(탈구) 적이 있습니까?,choice,예|아니오,n,,instability,예
26,overhead_pain,특이증상,머리 위로 팔을 들어 올리는 동작을 할 때 통증이 심해집니까?,choice,예|아니오,y,,,
27,cross_body_pain,특이증상,아픈 팔을 반대쪽 어깨 쪽으로 뻗을 때(가로지르기) 통증이 있습니까?,choice,예|아니오,y,견쇄관절 문제 확인 문항입니다.,,
28,weight_loss,전신증상,최근 의도하지 않은 체중 감소가 있었습니까?,choice,예|아니오,y,종양 등 심각한 질환 배제 문항입니다.,,
29,fever,전신증상,최근 원인 모를 열이 나거나 오한이 있었습니까?,choice,예|아니오,y,감염 배제 문항입니다.,,
30,previous_tx,과거력,최근 이 통증으로 병원 치료를 받은 적이 있습니까?,choice,예|아니오,y,,,
31,injection_hx,과거력,어깨에 주사 치료(스테로이드 등)를 맞은 적이 있습니까?,choice,예|아니오,n,,previous_tx,예
32,dm_hx,과거력,당뇨병을 앓고 계십니까?,choice,예|아니오,y,당뇨는 오십견의 주요 위험 인자입니다.,,
33,htn_hx,과거력,고혈압을 앓고 계십니까?,choice,예|아니오,y,,,
